product_id,product_name,category,sub_category,brand,unit_price,cost_price,supplier,stock_quantity,row_hash
PROD-0001,TechPro Smartphones Chair 854,Electronics,Smartphones,TechPro,1175.31,646.42,Rhodes PLC,114,a38ffe330a14885fc27d905fb5983b32
PROD-0002,ByteForce Smartphones Better 323,Electronics,Smartphones,ByteForce,1777.4,977.57,Wagner Inc,15,a789c10f3a229eb57da1094795c354ad
PROD-0003,DigitalMax Audio List 703,Electronics,Audio,DigitalMax,2281.53,1254.84,Pacheco-Smith,112,993c6610b65887546de1b7c752b92fc9
PROD-0004,ElectraPrime Laptops Dinner 881,Electronics,Laptops,ElectraPrime,1442.35,793.29,Garcia-James,79,36caeb9b21b451ce3b4c99d19de6cde1
PROD-0005,SmartWave Tablets Machine 649,Electronics,Tablets,SmartWave,1132.5,622.88,Dudley Group,373,314808259ad6f3dc73ff09f460dd1cdb
PROD-0006,ByteForce Smartphones Value 982,Electronics,Smartphones,ByteForce,1249.8,687.39,Ray-Bush,316,49cee0bbb6f3b010aae101ce51404351
PROD-0007,DigitalMax Smartphones Early 987,Electronics,Smartphones,DigitalMax,1234.1,678.75,James Group,437,73f5e0e651178926512a6f1b258dbbbe
PROD-0008,DigitalMax Tablets Religious 373,Electronics,Tablets,DigitalMax,1565.45,861.0,"Zuniga, Wong and Lynch",107,a896f3b3146a5c7550c3c065f19de411
PROD-0009,ByteForce Laptops Hundred 376,Electronics,Laptops,ByteForce,1051.2,578.16,"Watts, Robinson and Nguyen",236,0ca1a80f72ba0bdebeb82228fdaa0312
PROD-0010,DigitalMax Smartphones Executive 167,Electronics,Smartphones,DigitalMax,180.4,99.22,Gentry PLC,205,08f1b2ef649d80c9955b6319d330addc
PROD-0011,ClassicFit Kids Who 758,Clothing,Kids,ClassicFit,274.5,109.8,Thomas-Taylor,452,089eea07b99e32098abe3783f119b132
PROD-0012,ElegantLine Formal Later 697,Clothing,Formal,ElegantLine,153.95,61.58,Cox-Osborn,299,f97d0990522fea7024e39a7d05df2b5c
PROD-0013,ElegantLine Women's Wear Anyone 981,Clothing,Women's Wear,ElegantLine,271.11,108.44,Hernandez and Sons,386,f4301add426bcddb9c768cca1c6c25cb
