sale_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,discount_percent,sale_date,payment_method,store_location,row_hash
SALE-000001,CUST-00975,PROD-0024,NaturalHome Lighting Material 926,Home & Garden,2,498.31,996.62,25,2024-03-24T12:42:52.326673,Credit Card,"Chicago, IL",a3d6a26f1447d0d2a96c536dfa18af7b
SALE-000002,CUST-00070,PROD-0033,PageTurner Digital Year 683,Books & Media,3,34.51,103.53,10,2024-04-21T13:22:02.717020,PayPal,"New York, NY",a40005af279c3bd191251595f156cc74
SALE-000003,CUST-00558,PROD-0006,ByteForce Smartphones Value 982,Electronics,8,1249.8,9998.4,0,2024-06-03T14:12:21.647138,PayPal,"San Antonio, TX",d5167d81fa0d67086cba755fa3cc25a7
SALE-000004,CUST-00065,PROD-0028,NaturalHome Garden Now 956,Home & Garden,9,114.6,1031.4,15,2025-03-21T12:00:32.212634,Crypto,"Austin, TX",23d4fd04c44c75622902b76e3eba8252
SALE-000005,CUST-00197,PROD-0012,ElegantLine Formal Later 697,Clothing,2,153.95,307.9,10,2025-04-16T00:05:23.028540,Cash,"San Diego, CA",c18979d6dd571e360128d8bc54181ff2
SALE-000006,CUST-00883,PROD-0001,TechPro Smartphones Chair 854,Electronics,4,1175.31,4701.24,25,2024-05-29T22:45:43.197109,Credit Card,"Phoenix, AZ",2c10b3d72d1e6bcf1de017d3dd8341b0
SALE-000007,CUST-00193,PROD-0042,GlowUp Skincare Also 954,Health & Beauty,5,185.19,925.95,25,2025-02-22T04:37:22.543540,Debit Card,Online Store,6460a49333d49d9f0f6441d4ff582004
SALE-000008,CUST-00210,PROD-0020,ClassicFit Sportswear Road 305,Clothing,5,295.96,1479.8,5,2024-05-12T12:00:34.898753,Bank Transfer,"Philadelphia, PA",87d3f1f6d1ecf7d638c806ce55d6107c
SALE-000009,CUST-00068,PROD-0003,DigitalMax Audio List 703,Electronics,1,2281.53,2281.53,10,2025-11-03T07:29:12.444205,Credit Card,"Los Angeles, CA",9db714ce3bd832d3c176fc48f1e2ff77
SALE-000010,CUST-00013,PROD-0041,GlowUp Supplements Everybody 265,Health & Beauty,5,156.5,782.5,0,2024-07-20T18:04:15.592547,Debit Card,"Philadelphia, PA",155b04e47eba1ff385b148af81becfd3
SALE-000011,CUST-00376,PROD-0022,GardenPro Lighting Program 160,Home & Garden,8,21.9,175.2,20,2024-10-04T20:34:16.034228,Credit Card,Online Store,d789a2159ceb3c6f04086fb28e04faed
SALE-000012,CUST-00484,PROD-0049,PureCare Personal Care Every 282,Health & Beauty,3,16.14,48.42,25,2025-07-07T14:41:26.229313,Crypto,"Houston, TX",fb6489294a6a32229581b599edb4193c
SALE-000013,CUST-00612,PROD-0023,HomeComfort Decor Relationship 597,Home & Garden,7,540.3,3782.1,30,2025-11-15T20:29:51.577996,Crypto,"San Diego, CA",ab52484614fda140900ce4829a158245
SALE-000014,CUST-00134,PROD-0043,GlowUp Haircare Worker 915,Health & Beauty,2,87.46,174.92,15,2024-11-28T03:21:45.739985,Credit Card,Online Store,8a0bb9b357a02096a0c798d0c3abe623
