sale_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,discount_percent,sale_date,payment_method,store_location,row_hash
99491e8d-eccb-493c-87de-57e982af91c6,b9a86160-c62b-4cf7-8415-3e93913ea2be,fd58fc3b-0370-4137-af1a-873e4303f576,NaturalHome Lighting Material 926,Home & Garden,2,498.31,996.62,25,2024-03-25T11:06:39.326673,Credit Card,"Chicago, IL",ebdc1f00e8b6c3c237b5aaff86683548
01ee60d9-529a-48ac-b6ab-ffca8756a4b7,360a88e4-0bc3-4652-b5cf-81df99f59a07,f9552ac8-ffa9-4527-b9f8-de200f3c6a12,PageTurner Digital Year 683,Books & Media,3,34.51,103.53,10,2024-04-22T11:45:49.717020,PayPal,"New York, NY",1e30392eb99438649e3f609d796a9e76
b64e7bd4-0109-4024-be34-d5cac23beb81,bccadd5c-52ee-431b-ae79-aab9e2fedef2,8043c474-ff59-42fb-971a-ccccff14d0b3,ByteForce Smartphones Value 982,Electronics,8,1249.8,9998.4,0,2024-06-04T12:36:08.647138,PayPal,"San Antonio, TX",0c7f3751ccac2c1d4b928e8502c35a4b
07263da7-e7c2-470d-8fc4-3aded5963f01,32bb9abc-8942-4738-a9f5-4370a2046b1c,71a67a57-ceba-458e-a76d-7a754d0b3ab4,NaturalHome Garden Now 956,Home & Garden,9,114.6,1031.4,15,2025-03-22T10:24:19.212634,Crypto,"Austin, TX",7a2dd1795b19482fed9b8cb8a7593b30
c9ab0a85-cd29-4bd3-ac7f-d9bcf0ffb6f5,3edb9dc4-ca5a-4454-afd1-d50f62ac651c,afee516c-6241-4494-942b-f6e2a01b709a,ElegantLine Formal Later 697,Clothing,2,153.95,307.9,10,2025-04-16T22:29:10.028540,Cash,"San Diego, CA",a664652280879571652b482c31b44f03
91b192f1-10a6-4c36-9651-3757b348fb51,0eed1645-7401-40c9-b671-c4b6be304694,b9cedec2-d085-4af4-b2c9-ddcc33996964,TechPro Smartphones Chair 854,Electronics,4,1175.31,4701.24,25,2024-05-30T21:09:30.197109,Credit Card,"Phoenix, AZ",3ddbbd2b1fee70ff850740ee2f998fab
c68aa3c7-b750-40a5-a45c-a18d25b8da0f,8603ecc3-f302-4c90-bbb3-92eb8b0fa983,022ca504-7ef8-4639-8ca1-a66fe1f40d92,GlowUp Skincare Also 954,Health & Beauty,5,185.19,925.95,25,2025-02-23T03:01:09.543540,Debit Card,Online Store,dbb6d2c5fac4db5289b31b321144e19e
d7649d2d-89b6-450b-8a35-b95c4bc37694,85fb6759-d117-42df-baa5-35efb28de7f8,a41c22ed-3cf1-4920-abf9-7b36efd755b5,ClassicFit Sportswear Road 305,Clothing,5,295.96,1479.8,5,2024-05-13T10:24:21.898753,Bank Transfer,"Philadelphia, PA",4b975d0e569596b489767d8d9c9969de
606d91fb-1d5a-401b-9421-b0aef3245884,ca2fc103-e715-4643-ae24-b4a23dd3ce54,716045d2-39f0-4e9b-ade4-0c4f3ef46729,DigitalMax Audio List 703,Electronics,1,2281.53,2281.53,10,2025-11-04T05:52:59.444205,Credit Card,"Los Angeles, CA",ff3186ac312e353cd73b561d69c758f3
5412c72d-336b-43df-8dba-eb788f9ed330,cae735cf-f4a5-450b-8ed1-fb8346d4bbad,03b7a866-eb83-4e22-b759-857d985ff9c9,GlowUp Supplements Everybody 265,Health & Beauty,5,156.5,782.5,0,2024-07-21T16:28:02.592547,Debit Card,"Philadelphia, PA",4ded63c0d307ccb3d3e894d484335583
