sale_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,discount_percent,sale_date,payment_method,store_location,row_hash
20062730-cf36-47a9-a7ac-9e1b3e88d320,85497932-2c2f-4cc1-80be-19e5ab835b4a,2f1a113d-7abc-4642-8c89-c15994af88bb,NaturalHome Lighting Material 926,Home & Garden,2,498.31,996.62,25,2024-03-25T10:23:42.326673,Credit Card,"Chicago, IL",a11ec55ab02d33727869e3c3a75e8ba6
786e96b3-546f-414b-b0dc-220a28ac9fdc,087547a0-5fab-49da-8c96-d786236b4c8c,06c2e745-e601-4aee-8956-bbeffae099f7,PageTurner Digital Year 683,Books & Media,3,34.51,103.53,10,2024-04-22T11:02:52.717020,PayPal,"New York, NY",b800767c2ba43002e1d70b18a4c2d77b
478ff204-44e8-4e0a-91e0-dded75fbf3ea,3315c003-7475-448c-8a3d-c8b2d9c77343,93a5faad-96ba-438c-8c62-cd9e0b741698,ByteForce Smartphones Value 982,Electronics,8,1249.8,9998.4,0,2024-06-04T11:53:11.647138,PayPal,"San Antonio, TX",cee8b3ca819394feeea0dd572964fe61
79cf298d-33da-4223-8fd8-995cdd4f45a5,e6a30f8d-dee0-4db1-acef-de2b3d8a1c88,c8fa3288-9259-42b3-a34a-30ad5c541990,NaturalHome Garden Now 956,Home & Garden,9,114.6,1031.4,15,2025-03-22T09:41:22.212634,Crypto,"Austin, TX",38c3d092af5451c77ffce1839b442522
2352d3cc-2b3b-4ca9-ad00-328e2d9434da,d8f65cbb-d028-4787-a1b1-4b1cb4f0cadd,09eee69f-8280-422b-a4f0-f916dbecb715,ElegantLine Formal Later 697,Clothing,2,153.95,307.9,10,2025-04-16T21:46:13.028540,Cash,"San Diego, CA",852a759aa2b363e18ef0a8a2e0fe7d89
fca3256c-8950-4581-97ac-a55d4a119e97,c5520a1e-33c6-49f9-b8f9-b2957683fa37,df0b5a3f-19d5-47d7-a439-92d82d40bbd4,TechPro Smartphones Chair 854,Electronics,4,1175.31,4701.24,25,2024-05-30T20:26:33.197109,Credit Card,"Phoenix, AZ",9e2da350618a616056cf9e6502facdb5
709de85d-0ac9-40d3-8299-7f5d46cda774,66277158-1600-49c7-baf2-664560bbf45e,12346044-2b57-44d5-826d-b861cdc218da,GlowUp Skincare Also 954,Health & Beauty,5,185.19,925.95,25,2025-02-23T02:18:12.543540,Debit Card,Online Store,055f00ba7945161fb264fe66b305a768
1467ed44-76a9-44b3-bdc5-cdc1f32b38b8,c1c34d38-cdda-49ff-8d58-66f735e8b0bf,185dee26-2113-43ae-af63-e69d84bdb219,ClassicFit Sportswear Road 305,Clothing,5,295.96,1479.8,5,2024-05-13T09:41:24.898753,Bank Transfer,"Philadelphia, PA",acf92eed7e68bfa95cadf451032c4235
b335cccd-beca-44e0-9023-02ffcd539106,3492da24-76ca-47c8-81ca-4656cfbf8adf,9d4b3019-e43c-425d-a0a7-99ea7b2f8b89,DigitalMax Audio List 703,Electronics,1,2281.53,2281.53,10,2025-11-04T05:10:02.444205,Credit Card,"Los Angeles, CA",479603d4628057ef25bf3c24d255c816
f7c43cb0-2308-40b6-82a7-2d9588dc7521,f88b88c9-4427-45bd-bc69-83d0378ef008,c826d2fd-073f-4ca2-8f20-ad32f0b18d92,GlowUp Supplements Everybody 265,Health & Beauty,5,156.5,782.5,0,2024-07-21T15:45:05.592547,Debit Card,"Philadelphia, PA",5307fc494bc9de9a9fb8f819b36e02fb
b0a36e29-9b25-415e-a09c-8885b95036a1,d4681851-1afd-4b4e-9f0c-a544b4e4c80f,2e2ee851-fb8d-49b2-bb8b-c4e33e00bd68,GardenPro Lighting Program 160,Home & Garden,8,21.9,175.2,20,2024-10-05T18:15:06.034228,Credit Card,Online Store,9e4a45b0a4ad3db5fc705484bc927a8f
ed4575d4-c679-4678-b5d3-209f0aecfa24,a2bcf6ce-b4d6-4d00-9913-647b3d200126,d2741c58-d0d7-45fc-ae86-1803df8ab76c,PureCare Personal Care Every 282,Health & Beauty,3,16.14,48.42,25,2025-07-08T12:22:16.229313,Crypto,"Houston, TX",c0204cda72e02fbeaeaa4886c8b47d43
