sale_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,discount_percent,sale_date,payment_method,store_location,row_hash
b762ea0e-39fa-49e6-a791-12585dcde4b2,18897433-a909-415b-918a-68cbe3bc5584,3826ae1a-21b0-424c-9b82-f44e10a000f1,NaturalHome Lighting Material 926,Home & Garden,2,498.31,996.62,25,2024-03-25T05:18:17.326673,Credit Card,"Chicago, IL",4abd9ba6e0f26fb8863c96cc60564ea6
c100231f-4420-4892-b503-2df257c8cdce,061fca74-08ef-41c8-8a41-67a924927ed8,2f958388-601f-4bf7-b0bc-29bf79f850ef,PageTurner Digital Year 683,Books & Media,3,34.51,103.53,10,2024-04-22T05:57:27.717020,PayPal,"New York, NY",dd8d867712ba56928f4f18c2ff099345
b5997793-73b3-4815-8769-8b872790b6b3,945b01d1-8c13-4858-9903-5a5dc0817039,b1c847dd-2201-47f6-9ee2-4603ccc56835,ByteForce Smartphones Value 982,Electronics,8,1249.8,9998.4,0,2024-06-04T06:47:46.647138,PayPal,"San Antonio, TX",8db1765f9905078f0cf5ace69a00d642
bec90d54-c9aa-4484-9a86-6e09185d79b6,60cf7015-5081-4e41-b642-c3c4df89e66b,974de80e-2abe-4f4b-b722-a7a9c164a2bb,NaturalHome Garden Now 956,Home & Garden,9,114.6,1031.4,15,2025-03-22T04:35:57.212634,Crypto,"Austin, TX",8845fcdfb56ce109cfc1a758bc3a85e2
9b1b29b3-69f7-48c9-b745-d06e2f40eb1c,2d87b398-29c1-4f13-bbf8-3e9d4108bc40,f1a98311-cf9a-47e0-9909-e979dfcbfd90,ElegantLine Formal Later 697,Clothing,2,153.95,307.9,10,2025-04-16T16:40:48.028540,Cash,"San Diego, CA",1b968966b3195a066aab0803e7b5208a
515a679f-5972-4fe9-8d59-1f0f6579841b,b9630eda-bb63-4b0b-b3c4-d17bb9b94df5,1d5dd7d6-c37a-45a2-94a5-95e1ea72099d,TechPro Smartphones Chair 854,Electronics,4,1175.31,4701.24,25,2024-05-30T15:21:08.197109,Credit Card,"Phoenix, AZ",9573bef92ddd8f230fda62cbcb94a336
d6cdb7ac-b638-4253-9616-2d8a1bc77a7f,b2824fae-ec4c-41f0-8b94-c01de1c95933,501cd6dc-d094-4537-8e83-f26c51edf450,GlowUp Skincare Also 954,Health & Beauty,5,185.19,925.95,25,2025-02-22T21:12:47.543540,Debit Card,Online Store,0567b27bc5035d28ebc62fa39fb39bcc
651cf220-82cd-48ee-9ce9-e0445c57a521,e35ead73-ce0d-43e1-92f8-8037d5edf299,c346050d-bad0-40e1-993b-afab1b03ddc1,ClassicFit Sportswear Road 305,Clothing,5,295.96,1479.8,5,2024-05-13T04:35:59.898753,Bank Transfer,"Philadelphia, PA",fb4eed86d1f2052e994b5040364a444c
f50bf359-e5ef-4b89-a359-5c6af106bdef,1e0790f4-693f-406e-8509-338e2d090dad,4595267e-7496-4fc2-929a-e58be9cc3b1b,DigitalMax Audio List 703,Electronics,1,2281.53,2281.53,10,2025-11-04T00:04:37.444205,Credit Card,"Los Angeles, CA",fc06ecd81e6ce1680ddc196b6c80ff35
eed4cc53-fc8a-4e45-8078-9de2a281aa74,a6c717de-e6f4-4e9b-a76c-a4cab0edd8e1,1688c1a0-d054-4067-8ea4-a3c682f1bca4,GlowUp Supplements Everybody 265,Health & Beauty,5,156.5,782.5,0,2024-07-21T10:39:40.592547,Debit Card,"Philadelphia, PA",a943e631551a838c315a7807b1cd829e
e7d5a2d5-1a40-462e-85ed-5ce50103a3dd,435b704f-4f05-4925-885c-ce8212608a5d,9892062a-aff4-4afe-bc5f-1c6bc7caf6d0,GardenPro Lighting Program 160,Home & Garden,8,21.9,175.2,20,2024-10-05T13:09:41.034228,Credit Card,Online Store,d88e72dc1deebfc877de331bab62b51f
54fbb6d6-febf-4b98-b75e-f582cfa056c8,fd97377f-22f3-4aa2-bc85-81a846402b34,5225b4b8-af17-4432-837a-f46ba9e52c5e,PureCare Personal Care Every 282,Health & Beauty,3,16.14,48.42,25,2025-07-08T07:16:51.229313,Crypto,"Houston, TX",95f078bf3a4f9bf81da22ce910bd2e93
4c8e20a5-e6e1-4beb-ad0d-897a0967196a,58fbab16-4173-4c16-b7d1-8f44d36c16e8,59e7903e-f27c-4ff7-9d37-202f81420dfe,HomeComfort Decor Relationship 597,Home & Garden,7,540.3,3782.1,30,2025-11-16T13:05:16.577996,Crypto,"San Diego, CA",fa2274395ebc38b303a4ad2d6db35402
